"data","cidade","casos"
"2020-04-07","Barra do Piraí",1
"2020-04-07","Belford Roxo",5
"2020-04-07","Bom Jardim",1
"2020-04-07","Cabo Frio",1
"2020-04-07","Campos dos Goytacazes",1
"2020-04-07","Casimiro de Abreu",3
"2020-04-07","Duque de Caxias",12
"2020-04-07","Guapimirim",1
"2020-04-07","Iguaba Grande",2
"2020-04-07","Itaboraí",1
"2020-04-07","Itaguaí",0
"2020-04-07","Itaperuna",0
"2020-04-07","Japeri",1
"2020-04-07","Macaé",0
"2020-04-07","Magé",2
"2020-04-07","Mangaratiba",0
"2020-04-07","Maricá",1
"2020-04-07","Mesquita",1
"2020-04-07","Miguel Pereira",0
"2020-04-07","Nilópolis",5
"2020-04-07","Niterói",2
"2020-04-07","Nova Friburgo",3
"2020-04-07","Nova Iguaçu",9
"2020-04-07","Paraíba do Sul",1
"2020-04-07","Petrópolis",4
"2020-04-07","Porciúncula",0
"2020-04-07","Porto Real",1
"2020-04-07","Quatis",2
"2020-04-07","Queimados",1
"2020-04-07","Resende",1
"2020-04-07","Rio Bonito",1
"2020-04-07","Rio das Ostras",0
"2020-04-07","Rio de Janeiro",141
"2020-04-07","Sapucaia",1
"2020-04-07","Seropédica",1
"2020-04-07","São Gonçalo",9
"2020-04-07","São João da Barra",0
"2020-04-07","São João de Meriti",2
"2020-04-07","São Pedro da Aldeia",1
"2020-04-07","Tanguá",0
"2020-04-07","Teresópolis",0
"2020-04-07","Trajano de Moraes",0
"2020-04-07","Três Rios",0
"2020-04-07","Valença",0
"2020-04-07","Volta Redonda",3
"2020-04-08","Angra dos Reis",0
"2020-04-08","Araruama",0
"2020-04-08","Arraial do Cabo",0
"2020-04-08","Barra Mansa",0
"2020-04-08","Barra do Piraí",0
"2020-04-08","Belford Roxo",4
"2020-04-08","Bom Jardim",0
"2020-04-08","Cabo Frio",2
"2020-04-08","Campos dos Goytacazes",1
"2020-04-08","Casimiro de Abreu",0
"2020-04-08","Duque de Caxias",5
"2020-04-08","Guapimirim",0
"2020-04-08","Iguaba Grande",0
"2020-04-08","Itaboraí",0
"2020-04-08","Itaguaí",0
"2020-04-08","Itaperuna",0
"2020-04-08","Japeri",0
"2020-04-08","Macaé",0
"2020-04-08","Magé",0
"2020-04-08","Mangaratiba",0
"2020-04-08","Maricá",1
"2020-04-08","Mesquita",2
"2020-04-08","Miguel Pereira",0
"2020-04-08","Nilópolis",1
"2020-04-08","Niterói",12
"2020-04-08","Nova Friburgo",0
"2020-04-08","Nova Iguaçu",12
"2020-04-08","Paraíba do Sul",0
"2020-04-08","Petrópolis",2
"2020-04-08","Porciúncula",0
"2020-04-08","Porto Real",0
"2020-04-08","Quatis",0
"2020-04-08","Queimados",0
"2020-04-08","Resende",0
"2020-04-08","Rio Bonito",0
"2020-04-08","Rio das Flores",1
"2020-04-08","Rio das Ostras",0
"2020-04-08","Rio de Janeiro",198
"2020-04-08","Sapucaia",0
"2020-04-08","Seropédica",0
"2020-04-08","São Gonçalo",4
"2020-04-08","São João da Barra",0
"2020-04-08","São João de Meriti",5
"2020-04-08","São Pedro da Aldeia",0
"2020-04-08","Tanguá",0
"2020-04-08","Teresópolis",0
"2020-04-08","Trajano de Moraes",0
"2020-04-08","Três Rios",0
"2020-04-08","Valença",0
"2020-04-08","Volta Redonda",0
"2020-04-09","Angra dos Reis",0
"2020-04-09","Araruama",2
"2020-04-09","Arraial do Cabo",0
"2020-04-09","Barra Mansa",0
"2020-04-09","Barra do Piraí",0
"2020-04-09","Belford Roxo",5
"2020-04-09","Bom Jardim",1
"2020-04-09","Cabo Frio",1
"2020-04-09","Campos dos Goytacazes",0
"2020-04-09","Cantagalo",1
"2020-04-09","Casimiro de Abreu",0
"2020-04-09","Duque de Caxias",10
"2020-04-09","Guapimirim",0
"2020-04-09","Iguaba Grande",0
"2020-04-09","Itaboraí",5
"2020-04-09","Itaguaí",3
"2020-04-09","Itaperuna",0
"2020-04-09","Japeri",2
"2020-04-09","Macaé",0
"2020-04-09","Magé",2
"2020-04-09","Mangaratiba",0
"2020-04-09","Maricá",2
"2020-04-09","Mesquita",10
"2020-04-09","Miguel Pereira",0
"2020-04-09","Nilópolis",2
"2020-04-09","Niterói",11
"2020-04-09","Nova Friburgo",6
"2020-04-09","Nova Iguaçu",7
"2020-04-09","Paraty",1
"2020-04-09","Paraíba do Sul",0
"2020-04-09","Paty do Alferes",2
"2020-04-09","Petrópolis",0
"2020-04-09","Porciúncula",0
"2020-04-09","Porto Real",0
"2020-04-09","Quatis",0
"2020-04-09","Queimados",2
"2020-04-09","Resende",1
"2020-04-09","Rio Bonito",0
"2020-04-09","Rio das Flores",0
"2020-04-09","Rio das Ostras",0
"2020-04-09","Rio de Janeiro",184
"2020-04-09","Sapucaia",0
"2020-04-09","Seropédica",1
"2020-04-09","Sumidouro",1
"2020-04-09","São Gonçalo",5
"2020-04-09","São João da Barra",0
"2020-04-09","São João de Meriti",6
"2020-04-09","São Pedro da Aldeia",0
"2020-04-09","Tanguá",0
"2020-04-09","Teresópolis",0
"2020-04-09","Trajano de Moraes",0
"2020-04-09","Três Rios",0
"2020-04-09","Valença",0
"2020-04-09","Volta Redonda",5
"2020-04-10","Angra dos Reis",0
"2020-04-10","Araruama",0
"2020-04-10","Arraial do Cabo",0
"2020-04-10","Barra Mansa",3
"2020-04-10","Barra do Piraí",0
"2020-04-10","Belford Roxo",0
"2020-04-10","Bom Jardim",0
"2020-04-10","Bom Jesus do Itabapoana",3
"2020-04-10","Cabo Frio",0
"2020-04-10","Cachoeiras de Macacu",1
"2020-04-10","Campos dos Goytacazes",0
"2020-04-10","Cantagalo",0
"2020-04-10","Casimiro de Abreu",0
"2020-04-10","Duque de Caxias",14
"2020-04-10","Guapimirim",0
"2020-04-10","Iguaba Grande",0
"2020-04-10","Itaboraí",0
"2020-04-10","Itaguaí",-2
"2020-04-10","Itaperuna",0
"2020-04-10","Itatiaia",1
"2020-04-10","Japeri",0
"2020-04-10","Macaé",0
"2020-04-10","Magé",2
"2020-04-10","Mangaratiba",1
"2020-04-10","Maricá",3
"2020-04-10","Mesquita",4
"2020-04-10","Miguel Pereira",1
"2020-04-10","Nilópolis",1
"2020-04-10","Niterói",0
"2020-04-10","Nova Friburgo",0
"2020-04-10","Nova Iguaçu",11
"2020-04-10","Paracambi",1
"2020-04-10","Paraty",0
"2020-04-10","Paraíba do Sul",0
"2020-04-10","Paty do Alferes",0
"2020-04-10","Petrópolis",4
"2020-04-10","Porciúncula",0
"2020-04-10","Porto Real",1
"2020-04-10","Quatis",0
"2020-04-10","Queimados",1
"2020-04-10","Resende",1
"2020-04-10","Rio Bonito",1
"2020-04-10","Rio das Flores",0
"2020-04-10","Rio das Ostras",2
"2020-04-10","Rio de Janeiro",175
"2020-04-10","Sapucaia",0
"2020-04-10","Seropédica",1
"2020-04-10","Sumidouro",0
"2020-04-10","São Francisco de Itabapoana",1
"2020-04-10","São Gonçalo",4
"2020-04-10","São João da Barra",0
"2020-04-10","São João de Meriti",2
"2020-04-10","São Pedro da Aldeia",1
"2020-04-10","Tanguá",1
"2020-04-10","Teresópolis",1
"2020-04-10","Trajano de Moraes",0
"2020-04-10","Três Rios",0
"2020-04-10","Valença",0
"2020-04-10","Volta Redonda",8
"2020-04-11","Angra dos Reis",0
"2020-04-11","Araruama",0
"2020-04-11","Arraial do Cabo",0
"2020-04-11","Barra Mansa",0
"2020-04-11","Barra do Piraí",0
"2020-04-11","Belford Roxo",1
"2020-04-11","Bom Jardim",0
"2020-04-11","Bom Jesus do Itabapoana",0
"2020-04-11","Cabo Frio",0
"2020-04-11","Cachoeiras de Macacu",0
"2020-04-11","Campos dos Goytacazes",0
"2020-04-11","Cantagalo",0
"2020-04-11","Casimiro de Abreu",0
"2020-04-11","Duque de Caxias",0
"2020-04-11","Guapimirim",0
"2020-04-11","Iguaba Grande",0
"2020-04-11","Itaboraí",0
"2020-04-11","Itaguaí",0
"2020-04-11","Itaperuna",0
"2020-04-11","Itatiaia",0
"2020-04-11","Japeri",0
"2020-04-11","Macaé",0
"2020-04-11","Magé",0
"2020-04-11","Mangaratiba",0
"2020-04-11","Maricá",0
"2020-04-11","Mesquita",0
"2020-04-11","Miguel Pereira",0
"2020-04-11","Nilópolis",1
"2020-04-11","Niterói",3
"2020-04-11","Nova Friburgo",0
"2020-04-11","Nova Iguaçu",5
"2020-04-11","Paracambi",0
"2020-04-11","Paraty",0
"2020-04-11","Paraíba do Sul",0
"2020-04-11","Paty do Alferes",0
"2020-04-11","Petrópolis",1
"2020-04-11","Porciúncula",0
"2020-04-11","Porto Real",0
"2020-04-11","Quatis",0
"2020-04-11","Queimados",2
"2020-04-11","Resende",0
"2020-04-11","Rio Bonito",1
"2020-04-11","Rio das Flores",0
"2020-04-11","Rio das Ostras",0
"2020-04-11","Rio de Janeiro",97
"2020-04-11","Sapucaia",0
"2020-04-11","Seropédica",0
"2020-04-11","Sumidouro",0
"2020-04-11","São Francisco de Itabapoana",0
"2020-04-11","São Gonçalo",29
"2020-04-11","São João da Barra",0
"2020-04-11","São João de Meriti",3
"2020-04-11","São Pedro da Aldeia",0
"2020-04-11","Tanguá",0
"2020-04-11","Teresópolis",0
"2020-04-11","Trajano de Moraes",0
