"city","city_ibge_code","date","epidemiological_week","estimated_population","estimated_population_2019","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","new_confirmed","new_deaths"
"Belford Roxo",3300456,"2020-04-01",14,513118,510906,3,0.58466,"2020-04-01",0,0,1,0
"Campos dos Goytacazes",3301009,"2020-04-01",14,511168,507548,1,0.19563,"2020-04-01",0,0,0,0
"Duque de Caxias",3301702,"2020-04-01",14,924624,919596,6,0.64891,"2020-04-01",0,0,1,0
"Guapimirim",3301850,"2020-04-01",14,61388,60517,1,1.62898,"2020-04-01",0,0,0,0
"Itaboraí",3301900,"2020-04-01",14,242543,240592,4,1.64919,"2020-04-01",0,0,1,0
"Macaé",3302403,"2020-04-01",14,261501,256672,1,0.38241,"2020-04-01",0,0,0,0
"Mangaratiba",3302601,"2020-04-01",14,45220,44468,1,2.21141,"2020-04-01",0,0,0,0
"Maricá",3302700,"2020-04-01",14,164504,161207,2,1.21578,"2020-04-01",0,0,0,0
"Miguel Pereira",3302908,"2020-04-01",14,25581,25538,1,3.90915,"2020-04-01",1,1,0,0
"Niterói",3303302,"2020-04-01",14,515317,513584,62,12.03143,"2020-04-01",0.0161,1,5,0
"Nova Iguaçu",3303500,"2020-04-01",14,823302,821128,7,0.85023,"2020-04-01",0,0,0,0
"Petrópolis",3303906,"2020-04-01",14,306678,306191,5,1.63037,"2020-04-01",0.2,1,0,0
"Queimados",3304144,"2020-04-01",14,151335,150319,1,0.66079,"2020-04-01",0,0,0,0
"Resende",3304201,"2020-04-01",14,132312,131341,2,1.51158,"2020-04-01",0,0,0,0
"Rio Bonito",3304300,"2020-04-01",14,60573,60201,2,3.3018,"2020-04-01",0.5,1,0,0
"Rio das Ostras",3304524,"2020-04-01",14,155193,150674,3,1.93308,"2020-04-01",0.3333,1,1,1
"Rio de Janeiro",3304557,"2020-04-01",14,6747815,6718903,697,10.32927,"2020-04-01",0.0287,20,111,2
"Seropédica",3305554,"2020-04-01",14,83092,82312,1,1.20349,"2020-04-01",0,0,0,0
"São Gonçalo",3304904,"2020-04-01",14,1091737,1084839,11,1.00757,"2020-04-01",0.0909,1,2,1
"São João de Meriti",3305109,"2020-04-01",14,472906,472406,2,0.42292,"2020-04-01",0,0,1,0
"São Pedro da Aldeia",3305208,"2020-04-01",14,106049,104476,1,0.94296,"2020-04-01",0,0,0,0
"Teresópolis",3305802,"2020-04-01",14,184240,182594,1,0.54277,"2020-04-01",0,0,0,0
"Valença",3306107,"2020-04-01",14,76869,76523,1,1.30091,"2020-04-01",0,0,0,0
"Volta Redonda",3306305,"2020-04-01",14,273988,273012,12,4.37975,"2020-04-01",0.0833,1,0,0
